Longitude,Latitude,Correct
-13.27293167,8.447806667,False
-13.27300833,8.446881667,False
-13.27302,8.44676,False
-13.27302,8.446726667,False
-13.27302667,8.44662,False
-13.27303333,8.446585,False
-13.27304833,8.44607,False
-13.27304333,8.446001667,False
-13.27303833,8.445933333,False
-13.27300333,8.445738333,False
-13.27242167,8.442988333,False
-13.27240333,8.442865,False
-13.27239667,8.44282,False
-13.27237167,8.442723333,False
-13.27234667,8.442545,False
-13.27232833,8.442463333,False
-13.27228667,8.44229,False
-13.27225,8.442188333,False
-13.27222,8.44217,False
-13.27218333,8.442158333,False
-13.27210833,8.442136667,False
-13.27199333,8.442103333,False
-13.271955,8.442091667,False
-13.27179833,8.442045,False
-13.27173167,8.442026667,False
-13.27162,8.442005,False
-13.27158,8.441993333,False
-13.271355,8.44191,False
-13.27122333,8.44186,False
-13.27109667,8.441816667,False
-13.27098,8.441781667,False
-13.27094167,8.441768333,False
-13.27090333,8.441751667,False
-13.270865,8.441733333,False
-13.27069667,8.441673333,False
-13.2705,8.441348333,False
-13.270455,8.441001667,False
-13.27037333,8.440598333,False
-13.27092833,8.438398333,False
-13.27107333,8.438123333,False
-13.27108833,8.438083333,False
-13.27110333,8.438043333,False
-13.27263,8.43797,False
-13.2727,8.437998333,False
-13.27352,8.438335,False
-13.27356333,8.438313333,False
-13.27389167,8.437596667,False
-13.27390333,8.437573333,False
-13.27391667,8.437551667,False
-13.273945,8.437491667,False
-13.273985,8.43738,False
-13.274325,8.436835,False
-13.27489,8.436746667,False
-13.275925,8.43683,False
-13.28618667,8.424401667,True
-13.28664,8.423758333,True
-13.28668333,8.423743333,True
-13.28678,8.423716667,True
-13.28874667,8.422925,True
-13.28878167,8.422926667,True
-13.28886,8.422943333,True
-13.28890167,8.422955,True
-13.28894333,8.422958333,True
-13.288985,8.422958333,True
-13.28793167,8.425246667,True
-13.28792333,8.426256667,True
-13.28788167,8.426328333,True
-13.28781667,8.426483333,True
