Longitude,Latitude,UHI_Class
-13.28058167,8.434748333,High
-13.28056667,8.434761667,High
-13.28041833,8.434881667,High
-13.28040667,8.434893333,High
-13.280385,8.434915,High
-13.28034667,8.434948333,High
-13.28030333,8.434998333,High
-13.280235,8.435066667,High
-13.28022667,8.435075,High
-13.28018,8.435156667,High
-13.28017167,8.43517,High
-13.28015,8.435203333,High
-13.28013167,8.435231667,High
-13.28010833,8.435273333,High
-13.28009667,8.435298333,High
-13.28008167,8.435326667,High
-13.27995,8.435541667,High
-13.27995,8.435551667,High
-13.27993167,8.435595,High
-13.27983333,8.43578,High
-13.27982333,8.435805,High
-13.279805,8.435838333,High
-13.27979833,8.435851667,High
-13.27978667,8.435871667,High
-13.27582,8.4528,High
-13.27574333,8.452841667,High
-13.27567,8.45288,High
-13.27514167,8.45306,High
-13.275055,8.453056667,High
-13.27488333,8.453015,High
-13.27472333,8.452943333,High
-13.27453333,8.452801667,High
-13.27448,8.45275,High
-13.27442667,8.4527,High
-13.27437167,8.45265,High
-13.274265,8.452561667,High
-13.274165,8.452478333,High
-13.27247833,8.453581667,High
-13.27247333,8.45362,High
-13.27246,8.453705,High
-13.27242167,8.453901667,High
-13.27241333,8.453913333,High
-13.27239167,8.453995,High
-13.27237667,8.454115,High
-13.27236167,8.454215,High
-13.27235667,8.454291667,High
-13.272355,8.454335,High
-13.272355,8.45437,High
-13.27235833,8.45441,High
-13.27235833,8.45444,High
-13.27235667,8.454456667,High
-13.27235333,8.454481667,High
-13.27234667,8.454648333,High
-13.27234667,8.45466,High
-13.27229833,8.455031667,High
-13.27229667,8.455048333,High
-13.27229833,8.455085,High
-13.27229667,8.455105,High
-13.27229667,8.455126667,High
-13.27229167,8.455168333,High
-13.27229167,8.455265,High
-13.27229333,8.455336667,High
-13.27229667,8.455353333,High
-13.27232333,8.455448333,High
-13.27232833,8.455483333,High
-13.27233333,8.45551,High
-13.27234,8.455541667,High
-13.272355,8.455633333,High
-13.272365,8.455735,High
-13.27233667,8.455955,High
-13.27221667,8.45616,High
-13.27215667,8.456241667,High
-13.27202333,8.45641,High
-13.27199333,8.456451667,High
-13.27193667,8.456531667,High
-13.27186667,8.456636667,High
-13.27184,8.456663333,High
-13.27180833,8.456688333,High
-13.271745,8.456736667,High
-13.27171667,8.456761667,High
-13.27169167,8.456786667,High
-13.27163333,8.45683,High
-13.27144667,8.456966667,High
-13.271385,8.457008333,High
-13.27137,8.457021667,High
-13.27135833,8.457031667,High
-13.271335,8.457055,High
-13.27126667,8.457128333,High
-13.271235,8.457156667,High
-13.27120167,8.457188333,High
-13.271165,8.457223333,High
-13.27098833,8.457448333,High
-13.27096167,8.457491667,High
-13.27090333,8.457593333,High
-13.27088333,8.457625,High
-13.27079667,8.457768333,High
-13.27071833,8.457966667,High
-13.27069167,8.458015,High
-13.270665,8.458066667,High
-13.27064167,8.458123333,High
-13.27059,8.45824,High
-13.27056167,8.4583,High
-13.27046167,8.458545,High
-13.27038,8.458725,High
-13.27076,8.459915,High
-13.27094667,8.460233333,High
-13.27098667,8.460303333,High
-13.27102833,8.460373333,High
-13.27107333,8.460441667,High
-13.27116333,8.460581667,High
-13.272185,8.462641667,High
-13.27226167,8.462876667,High
-13.27231,8.463028333,High
-13.27240333,8.463323333,High
-13.27246833,8.463523333,High
-13.27256333,8.463821667,High
-13.27262,8.463996667,High
-13.27265833,8.464123333,High
-13.27268,8.464191667,High
-13.27270333,8.464263333,High
-13.27315667,8.465663333,High
-13.27318833,8.465736667,Medium
-13.273305,8.465955,High
-13.27334667,8.466025,High
-13.27358667,8.46634,High
-13.27363667,8.466398333,High
-13.27407833,8.46689,High
-13.27412167,8.466948333,High
-13.274165,8.467006667,High
-13.274385,8.467286667,High
-13.27443,8.467338333,High
-13.274475,8.46739,High
-13.27464667,8.467583333,High
-13.27475167,8.467703333,High
-13.27490167,8.46789,High
-13.27636,8.470546667,High
-13.27635167,8.470595,High
-13.27634333,8.470693333,High
-13.27634167,8.470808333,High
-13.27634167,8.470851667,High
-13.27632167,8.470978333,High
-13.27629,8.471098333,High
-13.27627167,8.471201667,High
-13.27625,8.471431667,High
-13.276235,8.471498333,High
-13.27622333,8.471598333,High
-13.27619833,8.471775,High
-13.27617833,8.471965,High
-13.27608667,8.472668333,High
-13.276075,8.472733333,High
-13.27606167,8.472798333,High
-13.276045,8.472861667,High
-13.27594,8.473176667,High
-13.275915,8.473236667,High
-13.27588667,8.473296667,High
-13.27585833,8.473355,High
-13.27579833,8.473468333,High
-13.27573667,8.473581667,High
-13.27570167,8.47364,High
-13.27563,8.473751667,High
-13.27528167,8.474221667,High
-13.275205,8.474311667,High
-13.27516333,8.474358333,High
-13.27508,8.474455,High
-13.27475333,8.474843333,High
-13.27467333,8.474948333,High
-13.27459,8.475056667,High
-13.27436667,8.475326667,High
-13.27418,8.475576667,High
-13.27414333,8.475625,High
-13.27399167,8.475815,High
-13.27391833,8.475901667,High
-13.27388333,8.475948333,High
-13.27384667,8.475993333,High
-13.27380833,8.47604,High
-13.27376833,8.476086667,High
-13.27356,8.47634,High
-13.27351833,8.476395,High
-13.27347667,8.47645,High
-13.273105,8.476935,High
-13.270635,8.479998333,High
-13.26599167,8.484913333,High
-13.26598167,8.48502,High
-13.26599167,8.485033333,High
-13.26632667,8.485106667,High
-13.266805,8.485185,High
-13.26688,8.485188333,High
-13.26692667,8.485196667,High
-13.26697833,8.485205,High
-13.26703333,8.485218333,High
-13.26708333,8.48523,High
-13.267165,8.485258333,High
-13.26719333,8.485266667,High
-13.26735333,8.485323333,High
-13.26741833,8.48534,High
-13.26745833,8.48535,High
-13.26765667,8.485406667,High
-13.26799833,8.485516667,High
-13.26803833,8.485526667,High
-13.26812,8.485555,High
-13.26826167,8.4856,High
-13.26831,8.485618333,High
-13.26836,8.485638333,High
-13.26846333,8.485683333,High
-13.26852,8.48571,High
-13.26864,8.485771667,High
-13.26880333,8.485908333,High
-13.268875,8.486026667,High
-13.26896167,8.486205,High
-13.26899333,8.486265,High
-13.26910167,8.48653,High
-13.26912333,8.486598333,High
-13.26916333,8.486728333,High
-13.26928167,8.48708,High
-13.269305,8.487135,High
-13.26932833,8.48719,High
-13.26935167,8.487245,High
-13.26963333,8.48772,High
-13.269725,8.487813333,High
-13.26975,8.48784,High
-13.26977,8.487858333,High
-13.26981333,8.48789,High
-13.26984667,8.487938333,High
-13.26997667,8.488096667,High
-13.27010333,8.488248333,High
-13.27023,8.488421667,High
-13.270265,8.488485,High
-13.27034,8.488666667,High
-13.270365,8.48884,High
-13.27036,8.48908,High
-13.2703,8.489315,High
-13.27028333,8.489373333,High
-13.27026667,8.489433333,High
